Date,Month,Day,Hour,season,Week_day,coef
2024-10-01,October,1,00:00,winter,Tuesday,0.000101009
2024-10-01,October,1,01:00,winter,Tuesday,0.000108514
2024-10-01,October,1,02:00,winter,Tuesday,9.872809248620059e-05
2024-10-01,October,1,03:00,winter,Tuesday,8.286609253163494e-05
2024-10-01,October,1,04:00,winter,Tuesday,6.975421372783382e-05
2024-10-01,October,1,05:00,winter,Tuesday,6.820530668717543e-05
2024-10-01,October,1,06:00,winter,Tuesday,8.221630075369636e-05
2024-10-01,October,1,07:00,winter,Tuesday,9.123972820073846e-05
2024-10-01,October,1,08:00,winter,Tuesday,8.835948156650278e-05
2024-10-01,October,1,09:00,winter,Tuesday,8.599051566450038e-05
2024-10-01,October,1,10:00,winter,Tuesday,8.364050460261155e-05
2024-10-01,October,1,11:00,winter,Tuesday,8.415187754686134e-05
2024-10-01,October,1,12:00,winter,Tuesday,8.521708845061023e-05
2024-10-01,October,1,13:00,winter,Tuesday,8.570145156389223e-05
2024-10-01,October,1,14:00,winter,Tuesday,8.838085541130259e-05
2024-10-01,October,1,15:00,winter,Tuesday,9.436272005163838e-05
2024-10-01,October,1,16:00,winter,Tuesday,0.000112704
2024-10-01,October,1,17:00,winter,Tuesday,0.000145018
2024-10-01,October,1,18:00,winter,Tuesday,0.000148876
2024-10-01,October,1,19:00,winter,Tuesday,0.000137814
2024-10-01,October,1,20:00,winter,Tuesday,0.000126123
2024-10-01,October,1,21:00,winter,Tuesday,0.000118623
2024-10-01,October,1,22:00,winter,Tuesday,0.000107104
2024-10-01,October,1,23:00,winter,Tuesday,9.599223799791097e-05
2024-10-02,October,2,00:00,winter,Wednesday,0.000106959
2024-10-02,October,2,01:00,winter,Wednesday,0.000104813
2024-10-02,October,2,02:00,winter,Wednesday,9.360250054602241e-05
2024-10-02,October,2,03:00,winter,Wednesday,8.301519618967001e-05
2024-10-02,October,2,04:00,winter,Wednesday,7.780067348654309e-05
2024-10-02,October,2,05:00,winter,Wednesday,7.694350548036946e-05
2024-10-02,October,2,06:00,winter,Wednesday,8.794050762140105e-05
2024-10-02,October,2,07:00,winter,Wednesday,9.73100520025001e-05
2024-10-02,October,2,08:00,winter,Wednesday,9.324210098381398e-05
2024-10-02,October,2,09:00,winter,Wednesday,8.855902059208685e-05
2024-10-02,October,2,10:00,winter,Wednesday,8.470151561232977e-05
2024-10-02,October,2,11:00,winter,Wednesday,8.35727711409238e-05
2024-10-02,October,2,12:00,winter,Wednesday,8.304774518930565e-05
2024-10-02,October,2,13:00,winter,Wednesday,8.131838373547082e-05
2024-10-02,October,2,14:00,winter,Wednesday,8.296942392545995e-05
2024-10-02,October,2,15:00,winter,Wednesday,8.799114563022941e-05
2024-10-02,October,2,16:00,winter,Wednesday,0.00010604
2024-10-02,October,2,17:00,winter,Wednesday,0.000137216
2024-10-02,October,2,18:00,winter,Wednesday,0.000142968
2024-10-02,October,2,19:00,winter,Wednesday,0.000134243
2024-10-02,October,2,20:00,winter,Wednesday,0.000123144
2024-10-02,October,2,21:00,winter,Wednesday,0.000114394
2024-10-02,October,2,22:00,winter,Wednesday,0.000103118
2024-10-02,October,2,23:00,winter,Wednesday,9.18847148217544e-05
2024-10-03,October,3,00:00,winter,Thursday,0.000109171
2024-10-03,October,3,01:00,winter,Thursday,0.000107343
2024-10-03,October,3,02:00,winter,Thursday,9.710329986846785e-05
2024-10-03,October,3,03:00,winter,Thursday,8.67735757079335e-05
2024-10-03,October,3,04:00,winter,Thursday,8.190404886180595e-05
2024-10-03,October,3,05:00,winter,Thursday,7.74724733165914e-05
2024-10-03,October,3,06:00,winter,Thursday,8.88022312696291e-05
2024-10-03,October,3,07:00,winter,Thursday,9.856282828848134e-05
2024-10-03,October,3,08:00,winter,Thursday,9.447806684519993e-05
2024-10-03,October,3,09:00,winter,Thursday,8.920058083563238e-05
2024-10-03,October,3,10:00,winter,Thursday,8.42556490202324e-05
2024-10-03,October,3,11:00,winter,Thursday,8.261727012347175e-05
2024-10-03,October,3,12:00,winter,Thursday,8.374749449028148e-05
2024-10-03,October,3,13:00,winter,Thursday,8.464062528523927e-05
2024-10-03,October,3,14:00,winter,Thursday,8.546345756882021e-05
2024-10-03,October,3,15:00,winter,Thursday,8.890704296823418e-05
2024-10-03,October,3,16:00,winter,Thursday,0.000103137
2024-10-03,October,3,17:00,winter,Thursday,0.000131717
2024-10-03,October,3,18:00,winter,Thursday,0.000139267
2024-10-03,October,3,19:00,winter,Thursday,0.000133049
2024-10-03,October,3,20:00,winter,Thursday,0.000130688
2024-10-03,October,3,21:00,winter,Thursday,0.000116426
2024-10-03,October,3,22:00,winter,Thursday,0.00010272
2024-10-03,October,3,23:00,winter,Thursday,9.606626633695685e-05
2024-10-04,October,4,00:00,winter,Friday,0.000110676
2024-10-04,October,4,01:00,winter,Friday,0.000108831
2024-10-04,October,4,02:00,winter,Friday,0.000100555
2024-10-04,October,4,03:00,winter,Friday,8.784025330469978e-05
2024-10-04,October,4,04:00,winter,Friday,7.731990377627086e-05
2024-10-04,October,4,05:00,winter,Friday,7.626821518649953e-05
2024-10-04,October,4,06:00,winter,Friday,9.090103970707503e-05
2024-10-04,October,4,07:00,winter,Friday,0.000103045
2024-10-04,October,4,08:00,winter,Friday,0.000101048
2024-10-04,October,4,09:00,winter,Friday,9.537115250641824e-05
2024-10-04,October,4,10:00,winter,Friday,8.975270361068674e-05
2024-10-04,October,4,11:00,winter,Friday,8.805256855591473e-05
2024-10-04,October,4,12:00,winter,Friday,8.951699066048048e-05
2024-10-04,October,4,13:00,winter,Friday,8.958555996627351e-05
2024-10-04,October,4,14:00,winter,Friday,9.170089113910446e-05
2024-10-04,October,4,15:00,winter,Friday,9.651647876574368e-05
2024-10-04,October,4,16:00,winter,Friday,0.000109484
2024-10-04,October,4,17:00,winter,Friday,0.000132937
2024-10-04,October,4,18:00,winter,Friday,0.000141036
2024-10-04,October,4,19:00,winter,Friday,0.000131824
2024-10-04,October,4,20:00,winter,Friday,0.00011929
2024-10-04,October,4,21:00,winter,Friday,0.000111994
2024-10-04,October,4,22:00,winter,Friday,0.000103869
2024-10-04,October,4,23:00,winter,Friday,9.559439544448242e-05
2024-10-05,October,5,00:00,winter,Saturday,9.700167987235664e-05
2024-10-05,October,5,01:00,winter,Saturday,9.870341415573024e-05
2024-10-05,October,5,02:00,winter,Saturday,9.830216344207758e-05
2024-10-05,October,5,03:00,winter,Saturday,9.785542098933945e-05
2024-10-05,October,5,04:00,winter,Saturday,8.667465964242862e-05
2024-10-05,October,5,05:00,winter,Saturday,7.639995954863572e-05
2024-10-05,October,5,06:00,winter,Saturday,7.624405553582904e-05
2024-10-05,October,5,07:00,winter,Saturday,9.394841709036977e-05
2024-10-05,October,5,08:00,winter,Saturday,0.000112528
2024-10-05,October,5,09:00,winter,Saturday,0.000115823
2024-10-05,October,5,10:00,winter,Saturday,0.000112293
2024-10-05,October,5,11:00,winter,Saturday,0.000109904
2024-10-05,October,5,12:00,winter,Saturday,0.000112361
2024-10-05,October,5,13:00,winter,Saturday,0.000112589
2024-10-05,October,5,14:00,winter,Saturday,0.000108677
2024-10-05,October,5,15:00,winter,Saturday,0.000105255
2024-10-05,October,5,16:00,winter,Saturday,0.000111395
2024-10-05,October,5,17:00,winter,Saturday,0.000135652
2024-10-05,October,5,18:00,winter,Saturday,0.00014308
2024-10-05,October,5,19:00,winter,Saturday,0.000132203
2024-10-05,October,5,20:00,winter,Saturday,0.000119273
2024-10-05,October,5,21:00,winter,Saturday,0.000110271
2024-10-05,October,5,22:00,winter,Saturday,0.000101666
2024-10-05,October,5,23:00,winter,Saturday,9.367501736534366e-05
2024-10-06,October,6,00:00,winter,Sunday,9.487863697071742e-05
2024-10-06,October,6,01:00,winter,Sunday,9.586801469756115e-05
2024-10-06,October,6,02:00,winter,Sunday,9.557340365013503e-05
2024-10-06,October,6,03:00,winter,Sunday,9.011898458016813e-05
2024-10-06,October,6,04:00,winter,Sunday,8.42803849704201e-05
2024-10-06,October,6,05:00,winter,Sunday,7.6475845023366e-05
2024-10-06,October,6,06:00,winter,Sunday,7.638556086229698e-05
2024-10-06,October,6,07:00,winter,Sunday,9.293679845967638e-05
2024-10-06,October,6,08:00,winter,Sunday,0.000113565
2024-10-06,October,6,09:00,winter,Sunday,0.000119196
2024-10-06,October,6,10:00,winter,Sunday,0.00012132
2024-10-06,October,6,11:00,winter,Sunday,0.000126047
2024-10-06,October,6,12:00,winter,Sunday,0.000131588
2024-10-06,October,6,13:00,winter,Sunday,0.000131376
2024-10-06,October,6,14:00,winter,Sunday,0.000129711
2024-10-06,October,6,15:00,winter,Sunday,0.00012534
2024-10-06,October,6,16:00,winter,Sunday,0.000125991
2024-10-06,October,6,17:00,winter,Sunday,0.000152118
2024-10-06,October,6,18:00,winter,Sunday,0.000156657
2024-10-06,October,6,19:00,winter,Sunday,0.00014281
2024-10-06,October,6,20:00,winter,Sunday,0.000127764
2024-10-06,October,6,21:00,winter,Sunday,0.000115426
2024-10-06,October,6,22:00,winter,Sunday,0.000100674
2024-10-06,October,6,23:00,winter,Sunday,8.855787137040714e-05
2024-10-07,October,7,00:00,winter,Monday,0.000103043
2024-10-07,October,7,01:00,winter,Monday,0.000103793
2024-10-07,October,7,02:00,winter,Monday,0.000104081
2024-10-07,October,7,03:00,winter,Monday,9.24722629768263e-05
2024-10-07,October,7,04:00,winter,Monday,7.652278820620084e-05
2024-10-07,October,7,05:00,winter,Monday,7.190644116980698e-05
2024-10-07,October,7,06:00,winter,Monday,8.479676827147388e-05
2024-10-07,October,7,07:00,winter,Monday,9.453319765681733e-05
2024-10-07,October,7,08:00,winter,Monday,9.271150004309982e-05
2024-10-07,October,7,09:00,winter,Monday,9.198108712513896e-05
2024-10-07,October,7,10:00,winter,Monday,9.052267845171003e-05
2024-10-07,October,7,11:00,winter,Monday,9.194079948020185e-05
2024-10-07,October,7,12:00,winter,Monday,9.40496154288694e-05
2024-10-07,October,7,13:00,winter,Monday,9.440432977740712e-05
2024-10-07,October,7,14:00,winter,Monday,9.714250645288285e-05
2024-10-07,October,7,15:00,winter,Monday,0.000103569
2024-10-07,October,7,16:00,winter,Monday,0.000123069
2024-10-07,October,7,17:00,winter,Monday,0.000157052
2024-10-07,October,7,18:00,winter,Monday,0.000156229
2024-10-07,October,7,19:00,winter,Monday,0.000139969
2024-10-07,October,7,20:00,winter,Monday,0.000125312
2024-10-07,October,7,21:00,winter,Monday,0.000114536
2024-10-07,October,7,22:00,winter,Monday,0.000101208
2024-10-07,October,7,23:00,winter,Monday,9.095708045991196e-05
2024-10-08,October,8,00:00,winter,Tuesday,9.354680653493015e-05
2024-10-08,October,8,01:00,winter,Tuesday,9.879225710745792e-05
2024-10-08,October,8,02:00,winter,Tuesday,9.922312026204499e-05
2024-10-08,October,8,03:00,winter,Tuesday,9.27928552972114e-05
2024-10-08,October,8,04:00,winter,Tuesday,7.891688428778891e-05
2024-10-08,October,8,05:00,winter,Tuesday,7.167140399756415e-05
2024-10-08,October,8,06:00,winter,Tuesday,8.316881700838525e-05
2024-10-08,October,8,07:00,winter,Tuesday,9.2317735389558e-05
2024-10-08,October,8,08:00,winter,Tuesday,9.063341628195125e-05
2024-10-08,October,8,09:00,winter,Tuesday,8.96805609613237e-05
2024-10-08,October,8,10:00,winter,Tuesday,8.862995015706393e-05
2024-10-08,October,8,11:00,winter,Tuesday,9.047550274312432e-05
2024-10-08,October,8,12:00,winter,Tuesday,9.296636617624763e-05
2024-10-08,October,8,13:00,winter,Tuesday,9.195633019441479e-05
2024-10-08,October,8,14:00,winter,Tuesday,9.45775137694503e-05
2024-10-08,October,8,15:00,winter,Tuesday,0.000100772
2024-10-08,October,8,16:00,winter,Tuesday,0.000119101
2024-10-08,October,8,17:00,winter,Tuesday,0.00015149
2024-10-08,October,8,18:00,winter,Tuesday,0.000152548
2024-10-08,October,8,19:00,winter,Tuesday,0.000136966
2024-10-08,October,8,20:00,winter,Tuesday,0.000123522
2024-10-08,October,8,21:00,winter,Tuesday,0.00011364
2024-10-08,October,8,22:00,winter,Tuesday,0.000100887
2024-10-08,October,8,23:00,winter,Tuesday,9.141631544048986e-05
2024-10-09,October,9,00:00,winter,Wednesday,0.000100965
2024-10-09,October,9,01:00,winter,Wednesday,0.000105145
2024-10-09,October,9,02:00,winter,Wednesday,0.000102845
2024-10-09,October,9,03:00,winter,Wednesday,9.376608834770342e-05
2024-10-09,October,9,04:00,winter,Wednesday,7.697326580850018e-05
2024-10-09,October,9,05:00,winter,Wednesday,6.923874231253713e-05
2024-10-09,October,9,06:00,winter,Wednesday,8.174345370338228e-05
2024-10-09,October,9,07:00,winter,Wednesday,9.162495674390371e-05
2024-10-09,October,9,08:00,winter,Wednesday,8.985548357460608e-05
2024-10-09,October,9,09:00,winter,Wednesday,8.727430978032919e-05
2024-10-09,October,9,10:00,winter,Wednesday,8.512141986512306e-05
2024-10-09,October,9,11:00,winter,Wednesday,8.660154441726877e-05
2024-10-09,October,9,12:00,winter,Wednesday,8.738765707759043e-05
2024-10-09,October,9,13:00,winter,Wednesday,8.578450368285816e-05
2024-10-09,October,9,14:00,winter,Wednesday,8.794751921435478e-05
2024-10-09,October,9,15:00,winter,Wednesday,9.416631715571247e-05
2024-10-09,October,9,16:00,winter,Wednesday,0.00011017
2024-10-09,October,9,17:00,winter,Wednesday,0.00014106
